SampleID	grain_length
IRIS_313-10936_IRIS_313-10936 9.9
IRIS_313-10937_IRIS_313-10937 7.8
IRIS_313-10940_IRIS_313-10940 8.3
IRIS_313-10941_IRIS_313-10941 9.9
IRIS_313-10942_IRIS_313-10942 8.9
IRIS_313-10943_IRIS_313-10943 7.7
IRIS_313-10944_IRIS_313-10944 8.8
IRIS_313-10945_IRIS_313-10945 7
IRIS_313-10946_IRIS_313-10946 8.5
IRIS_313-10947_IRIS_313-10947 8.3
IRIS_313-10948_IRIS_313-10948 8.5
IRIS_313-10949_IRIS_313-10949 7.7
IRIS_313-10950_IRIS_313-10950 8.5
IRIS_313-10951_IRIS_313-10951 8.4
IRIS_313-10952_IRIS_313-10952 7.9
IRIS_313-10953_IRIS_313-10953 8.6
IRIS_313-10954_IRIS_313-10954 8.4
IRIS_313-10955_IRIS_313-10955 5.9
IRIS_313-10956_IRIS_313-10956 8.1
IRIS_313-10957_IRIS_313-10957 9
IRIS_313-10958_IRIS_313-10958 9.4
IRIS_313-10959_IRIS_313-10959 8.9
IRIS_313-10960_IRIS_313-10960 8.9
IRIS_313-10962_IRIS_313-10962 8.8
IRIS_313-10963_IRIS_313-10963 8.5
IRIS_313-10964_IRIS_313-10964 7.8
IRIS_313-10965_IRIS_313-10965 8.7
IRIS_313-10966_IRIS_313-10966 9
IRIS_313-10967_IRIS_313-10967 7.9
IRIS_313-10968_IRIS_313-10968 8.2
IRIS_313-10969_IRIS_313-10969 8.5
IRIS_313-10971_IRIS_313-10971 8.2
IRIS_313-10972_IRIS_313-10972 8.2
IRIS_313-10973_IRIS_313-10973 8.3
IRIS_313-10974_IRIS_313-10974 8.1
IRIS_313-10976_IRIS_313-10976 8.4
IRIS_313-10977_IRIS_313-10977 7.9
IRIS_313-10978_IRIS_313-10978 9.1
IRIS_313-10980_IRIS_313-10980 8.5
IRIS_313-10981_IRIS_313-10981 7.7
IRIS_313-10982_IRIS_313-10982 7.8
IRIS_313-10983_IRIS_313-10983 8.5
IRIS_313-10984_IRIS_313-10984 8.6
IRIS_313-10985_IRIS_313-10985 8.6
IRIS_313-10986_IRIS_313-10986 8.2
IRIS_313-10988_IRIS_313-10988 9.1
IRIS_313-10989_IRIS_313-10989 8.6
IRIS_313-10990_IRIS_313-10990 7.5
IRIS_313-10991_IRIS_313-10991 7.9
IRIS_313-10992_IRIS_313-10992 7.5
IRIS_313-10993_IRIS_313-10993 9
IRIS_313-10994_IRIS_313-10994 8.9
IRIS_313-10995_IRIS_313-10995 7.8
IRIS_313-10996_IRIS_313-10996 9.7
IRIS_313-10997_IRIS_313-10997 9
IRIS_313-10999_IRIS_313-10999 9.5
IRIS_313-11000_IRIS_313-11000 8
IRIS_313-11001_IRIS_313-11001 9.9
IRIS_313-11003_IRIS_313-11003 9.2
IRIS_313-11004_IRIS_313-11004 9
IRIS_313-11005_IRIS_313-11005 9
IRIS_313-11006_IRIS_313-11006 8
IRIS_313-11007_IRIS_313-11007 8.3
IRIS_313-11008_IRIS_313-11008 9
IRIS_313-11009_IRIS_313-11009 9.8
IRIS_313-11010_IRIS_313-11010 8.1
IRIS_313-11011_IRIS_313-11011 8.6
IRIS_313-11012_IRIS_313-11012 8.2
IRIS_313-11013_IRIS_313-11013 8.3
IRIS_313-11014_IRIS_313-11014 8.3
IRIS_313-11015_IRIS_313-11015 7.9
IRIS_313-11016_IRIS_313-11016 8.1
IRIS_313-11017_IRIS_313-11017 8.6
IRIS_313-11018_IRIS_313-11018 7.7
IRIS_313-11019_IRIS_313-11019 8.2
IRIS_313-11020_IRIS_313-11020 9.7
IRIS_313-11021_IRIS_313-11021 10
IRIS_313-11022_IRIS_313-11022 9.5
IRIS_313-11023_IRIS_313-11023 9.6
IRIS_313-11024_IRIS_313-11024 9.9
IRIS_313-11025_IRIS_313-11025 8.3
IRIS_313-11026_IRIS_313-11026 10.2
IRIS_313-11027_IRIS_313-11027 7.3
IRIS_313-11028_IRIS_313-11028 8.9
IRIS_313-11029_IRIS_313-11029 9.1
IRIS_313-11031_IRIS_313-11031 9.1
IRIS_313-11032_IRIS_313-11032 9.6
IRIS_313-11033_IRIS_313-11033 9.6
IRIS_313-11034_IRIS_313-11034 8.7
IRIS_313-11035_IRIS_313-11035 10
IRIS_313-11036_IRIS_313-11036 9.4
IRIS_313-11037_IRIS_313-11037 8
